Iteration,Fitness,Chromosomes
100,3115.07,[0.02, 0.14, -0.16, 0.36, 0.25, 0.16, 0.25, -0.18, 0.28, -0.12, 0.25, 0.11, -0.13, -0.05, -0.11, -0.22, 0.08, 0.32, -0.22, -0.17, 0.23, 0.14, 0.2, 0.19, 0.15, 0.1, 0.07, 0.03, -0.06, -0.14, -0.09, -0.03, -0.1, -0.01, 0.11, 0.07, -0.08, -0.03, -0.12, -0.25, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.05, -0.12, -0.04, -0.02, -0.01, 0.27, 0.13, -0.03, 0.05, 0.12, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.15, 0.18, 0.14, 0.1, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.0, -0.13, -0.06, -0.03, -0.01, 0.04, 0.05, -0.14, -0.1, 0.01, -0.01, -0.03, 0.1, 0.03, 0.05, 0.08, -0.19, -0.15, -0.14, -0.07, 0.07, 0.03, 0.01, 0.05]
110,2628.68,[0.36, 0.37, 0.26, 0.42, -0.6, -0.23, -0.16, -0.05, 0.03, -0.2, 0.25, 0.11, -0.13, 0.11, -0.11, -0.11, -0.16, -0.17, -0.22, -0.17, 0.23, 0.14, 0.2, 0.19, 0.15, 0.1, 0.07, 0.03, -0.06, -0.14, -0.09, -0.03, -0.1, -0.01, 0.11, 0.07, -0.08, -0.03, -0.02, -0.11, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.05, -0.12, -0.04, -0.02, -0.01, -0.05, 0.13, -0.03, 0.05, 0.12, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.15, 0.18, 0.14, 0.1, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.0, -0.05, -0.06, -0.03, -0.01, 0.04, 0.05, -0.14, -0.1, -0.05, -0.01, -0.03, -0.02, 0.03, 0.05, 0.08, 0.05, -0.15, -0.14, -0.07, 0.07, 0.03, 0.01, 0.05]
120,2329.21,[0.8, 0.21, -0.16, -0.31, -0.32, -0.25, 0.41, 0.01, 0.28, 0.21, 0.11, 0.11, -0.13, 0.11, -0.11, -0.29, -0.1, -0.17, -0.22, -0.17, 0.23, 0.12, 0.2, 0.14, 0.15, 0.1, 0.07, 0.03, -0.06, -0.14, -0.09, -0.03, -0.06, -0.01, 0.11, 0.07, -0.08, -0.03, -0.12, -0.11, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, 0.13, 0.07, 0.05, 0.12, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.02, 0.18, 0.14, 0.1, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.0, -0.05, -0.06, -0.03, -0.01, 0.04, 0.05, 0.03, -0.1, -0.05, -0.01, -0.03, -0.02, 0.03, 0.05, 0.08, 0.05, -0.11, -0.14, -0.07, 0.07, 0.03, 0.01, 0.0]
130,1957.22,[0.15, -0.45, 0.17, 0.45, -0.08, -0.26, 0.17, 0.06, 0.03, -0.2, 0.25, 0.11, -0.13, -0.05, -0.11, -0.22, -0.1, -0.17, -0.22, -0.17, -0.08, 0.12, 0.2, 0.14, 0.15, 0.1, 0.07, 0.03, -0.06, -0.14, -0.09, -0.03, -0.06, -0.01, 0.11, 0.07, -0.08, -0.03, -0.12, -0.11, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.12, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.02, 0.18, 0.14, 0.1, 0.08, 0.04, -0.04, 0.03, 0.12, 0.11, 0.06, 0.0, -0.05, -0.06, -0.03, -0.01, 0.04, 0.05, 0.03, 0.04, -0.05, -0.01, -0.03, -0.02, 0.03, 0.05, 0.08, 0.05, 0.0, -0.03, -0.07, 0.07, 0.03, 0.01, 0.0]
140,1742.56,[0.15, -0.45, 0.17, 0.45, -0.08, -0.26, 0.17, 0.06, 0.03, -0.2, 0.21, 0.11, -0.13, -0.05, -0.11, -0.22, -0.1, -0.17, -0.22, -0.17, -0.08, 0.12, 0.2, 0.14, 0.15, 0.1, 0.07, 0.03, -0.06, -0.14, -0.09, -0.03, -0.06, -0.01, 0.04, 0.04, 0.01, -0.03, -0.12, -0.11, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.12, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.02, 0.01, 0.14, 0.1, 0.08, 0.04, -0.04, 0.03, 0.02, 0.11, 0.06, 0.0, -0.05, -0.06, -0.03, -0.01, 0.04, 0.05, 0.03, 0.04, -0.05, -0.01, -0.03, -0.02, 0.03, 0.05, 0.08, 0.05, 0.0, -0.03, 0.09, 0.07, 0.03, 0.01, 0.0]
150,1625.42,[0.88, 0.21, -0.16, -0.31, -0.32, -0.26, -0.32, 0.06, 0.03, 0.03, 0.25, 0.11, -0.13, -0.05, -0.11, -0.19, -0.1, -0.17, -0.22, -0.17, -0.08, -0.08, 0.1, 0.14, 0.15, 0.1, 0.07, 0.03, -0.01, -0.14, -0.09, -0.03, -0.06, -0.01, 0.04, 0.04, 0.01, -0.03, -0.12, -0.11, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.07, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.02, 0.01, 0.14, 0.1, 0.08, 0.04, -0.04, 0.03, 0.02, 0.11, 0.06, 0.0, -0.05, -0.06, -0.03, -0.01, 0.04, 0.05, 0.03, 0.04, -0.02, -0.01, -0.03, -0.02, 0.03, 0.04, 0.08, 0.05, 0.0, -0.03, 0.09, 0.07, 0.03, 0.01, 0.0]
160,1517.51,[0.57, 0.44, -0.04, 0.06, -0.13, 0.16, 0.25, -0.18, 0.01, 0.03, 0.25, 0.11, -0.13, -0.05, -0.11, -0.11, -0.1, -0.17, -0.22, -0.16, -0.08, 0.12, 0.1, 0.14, 0.15, 0.1, 0.07, 0.03, -0.01, -0.14, -0.09, -0.03, -0.06, -0.01, 0.04, 0.04, 0.01, -0.03, -0.12, -0.11, -0.17, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.07, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.0, 0.09, 0.02, 0.01, 0.14, 0.1, 0.08, 0.04, -0.04, 0.03, 0.02, 0.07, 0.06, 0.0, -0.05, -0.05, -0.03, -0.01, 0.04, 0.05, 0.03, 0.04, -0.02, -0.01, -0.03, -0.02, 0.03, 0.04, 0.08, 0.05, 0.0, 0.03, 0.09, 0.07, 0.03, 0.01, 0.0]
170,1411.23,[-0.13, -0.04, 0.26, 0.08, -0.08, -0.26, 0.17, 0.06, 0.03, -0.2, 0.21, 0.11, -0.13, -0.05, -0.11, -0.11, -0.1, -0.17, -0.22, -0.17, -0.08, -0.08, 0.1, 0.14, 0.13, 0.1, 0.07, 0.03, -0.01, -0.14, -0.09, -0.03, -0.06, -0.01, 0.04, 0.04, 0.01, -0.03, -0.12, -0.11, -0.08, -0.2, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.07, 0.06, 0.06, 0.03, -0.03, -0.05, -0.01, 0.0, 0.09, 0.02, 0.01, 0.09, 0.1, 0.08, 0.04, -0.04, 0.03, 0.02, 0.07, 0.06, 0.0, -0.05, -0.05, -0.03, -0.01, 0.04, 0.05, 0.03, 0.04, -0.02, -0.01, -0.03, -0.02, 0.03, 0.04, 0.08, 0.05, 0.05, 0.03, 0.09, 0.07, 0.03, 0.01, 0.0]
180,1276.15,[-0.47, 0.44, -0.04, 0.06, -0.13, 0.16, 0.25, 0.06, 0.03, 0.02, 0.25, 0.11, -0.13, -0.05, -0.11, -0.11, -0.1, -0.17, -0.22, -0.09, -0.08, -0.08, 0.1, 0.14, 0.15, 0.1, 0.07, 0.03, -0.01, -0.07, -0.09, -0.03, -0.06, -0.01, 0.04, 0.04, 0.01, -0.03, -0.12, -0.11, -0.08, -0.19, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.07, 0.06, 0.06, 0.03, -0.03, -0.05, -0.01, 0.0, 0.09, 0.04, 0.01, 0.09, 0.1, 0.08, 0.04, -0.04, 0.03, 0.02, 0.01, 0.01, 0.0, -0.05, -0.05, -0.03, -0.01, 0.04, 0.05, 0.03, 0.04, -0.02, -0.01, -0.03, -0.02, 0.03, 0.04, 0.08, 0.05, 0.05, 0.03, 0.01, 0.07, 0.03, 0.01, 0.0]
190,1121.94,[0.13, 0.21, -0.16, -0.31, -0.12, 0.01, -0.16, -0.05, 0.03, 0.03, 0.02, 0.11, -0.13, -0.05, -0.11, -0.11, -0.1, -0.17, -0.22, -0.17, -0.08, -0.08, 0.1, 0.14, 0.13, 0.1, 0.07, 0.03, -0.01, -0.05, -0.09, -0.03, -0.06, -0.01, 0.04, 0.04, 0.01, -0.03, -0.12, -0.11, -0.08, -0.13, -0.08, 0.01, 0.04, 0.12, 0.09, -0.02, -0.03, -0.04, -0.02, -0.01, -0.05, -0.03, 0.07, 0.05, 0.07, 0.06, 0.06, 0.03, -0.03, -0.05, -0.01, 0.0, -0.02, 0.04, 0.01, 0.01, 0.1, 0.08, 0.04, -0.04, 0.03, 0.02, 0.01, 0.01, 0.0, -0.05, -0.05, -0.03, -0.01, 0.04, 0.04, 0.03, 0.03, -0.02, -0.01, -0.03, 0.0, 0.03, 0.04, 0.08, 0.05, 0.05, 0.03, 0.01, 0.07, 0.03, 0.01, 0.0]
